Index,Score,Classification,Effort,BugCount
0,13.000000,1.000000,273.000000,1.000000
1,4.000000,0.000000,2.000000,1.000000
2,8.000000,0.000000,144.000000,1.000000
3,2.000000,0.000000,8.000000,1.000000
4,10.000000,1.000000,157.000000,1.000000
5,6.000000,0.000000,94.000000,1.000000
6,14.000000,1.000000,200.000000,1.000000
7,7.000000,0.000000,128.000000,1.000000
8,8.000000,0.000000,34.000000,1.000000
9,4.000000,0.000000,268.000000,1.000000
10,9.000000,0.000000,198.000000,1.000000
11,10.000000,1.000000,174.000000,1.000000
12,4.000000,0.000000,58.000000,1.000000
13,3.000000,0.000000,12.000000,1.000000
14,16.000000,1.000000,435.000000,1.000000
15,9.000000,0.000000,151.000000,1.000000
16,10.000000,1.000000,125.000000,1.000000
17,9.000000,0.000000,249.000000,1.000000
18,14.000000,1.000000,395.000000,1.000000
19,7.000000,0.000000,59.000000,1.000000
20,3.000000,0.000000,77.000000,0.000000
21,10.000000,1.000000,30.000000,1.000000
22,6.000000,0.000000,56.000000,1.000000
23,10.000000,1.000000,121.000000,1.000000
24,6.000000,0.000000,59.000000,1.000000
25,8.000000,0.000000,246.000000,1.000000
26,17.000000,1.000000,296.000000,1.000000
27,6.000000,0.000000,41.000000,1.000000
28,0.000000,0.000000,80.000000,1.000000
29,9.000000,0.000000,88.000000,1.000000
30,9.000000,0.000000,94.000000,1.000000
31,1.000000,0.000000,7.000000,1.000000
32,7.000000,0.000000,107.000000,1.000000
33,3.000000,0.000000,19.000000,1.000000
34,11.000000,1.000000,208.000000,1.000000
35,5.000000,0.000000,479.000000,0.000000
36,6.000000,0.000000,49.000000,1.000000
37,6.000000,0.000000,170.000000,0.000000
38,13.000000,1.000000,236.000000,1.000000
39,2.000000,0.000000,10.000000,0.000000
40,14.000000,1.000000,148.000000,1.000000
41,4.000000,0.000000,15.000000,1.000000
42,10.000000,1.000000,344.000000,1.000000
43,4.000000,0.000000,1.000000,1.000000
44,8.000000,0.000000,126.000000,1.000000
45,5.000000,0.000000,163.000000,1.000000
46,3.000000,0.000000,1.000000,1.000000
47,6.000000,0.000000,85.000000,1.000000
48,18.000000,1.000000,311.000000,1.000000
49,14.000000,1.000000,175.000000,1.000000
50,11.000000,1.000000,146.000000,1.000000
51,11.000000,1.000000,57.000000,1.000000
52,2.000000,0.000000,12.000000,1.000000
53,7.000000,0.000000,325.000000,1.000000
54,11.000000,1.000000,325.000000,0.000000
55,4.000000,0.000000,90.000000,1.000000
56,7.000000,0.000000,155.000000,1.000000
57,7.000000,0.000000,87.000000,1.000000
58,12.000000,1.000000,47.000000,1.000000
59,13.000000,1.000000,962.000000,1.000000
60,2.000000,0.000000,15.000000,1.000000
61,7.000000,0.000000,14.000000,0.000000
62,11.000000,1.000000,150.000000,1.000000
63,7.000000,0.000000,6.000000,1.000000
64,9.000000,0.000000,48.000000,1.000000
65,12.000000,1.000000,407.000000,1.000000
66,14.000000,1.000000,387.000000,1.000000
67,4.000000,0.000000,45.000000,1.000000
68,12.000000,1.000000,760.000000,1.000000
69,4.000000,0.000000,41.000000,1.000000
70,11.000000,1.000000,239.000000,1.000000
71,12.000000,1.000000,197.000000,1.000000
72,11.000000,1.000000,279.000000,1.000000
73,2.000000,0.000000,68.000000,1.000000
74,7.000000,0.000000,15.000000,1.000000
75,11.000000,1.000000,301.000000,1.000000
76,10.000000,1.000000,213.000000,1.000000
77,15.000000,1.000000,279.000000,1.000000
78,7.000000,0.000000,80.000000,1.000000
79,13.000000,1.000000,733.000000,1.000000
80,14.000000,1.000000,191.000000,1.000000
81,7.000000,0.000000,168.000000,1.000000
82,10.000000,1.000000,113.000000,1.000000
83,17.000000,1.000000,460.000000,1.000000
84,5.000000,0.000000,48.000000,1.000000
85,5.000000,0.000000,58.000000,1.000000
86,5.000000,0.000000,133.000000,0.000000
87,4.000000,0.000000,1.000000,1.000000
88,7.000000,0.000000,53.000000,1.000000
89,14.000000,1.000000,172.000000,1.000000
90,1.000000,0.000000,38.000000,1.000000
91,4.000000,0.000000,27.000000,1.000000
92,7.000000,0.000000,38.000000,1.000000
93,4.000000,0.000000,46.000000,1.000000
94,9.000000,0.000000,167.000000,1.000000
95,3.000000,0.000000,1.000000,1.000000
96,14.000000,1.000000,708.000000,1.000000
97,12.000000,1.000000,395.000000,1.000000
98,11.000000,1.000000,167.000000,1.000000
99,10.000000,1.000000,57.000000,1.000000
100,8.000000,0.000000,26.000000,1.000000
101,3.000000,0.000000,10.000000,0.000000
102,13.000000,1.000000,1589.000000,1.000000
103,6.000000,0.000000,10.000000,1.000000
104,8.000000,0.000000,200.000000,1.000000
105,9.000000,0.000000,209.000000,0.000000
106,9.000000,0.000000,295.000000,1.000000
107,7.000000,0.000000,41.000000,1.000000
108,13.000000,1.000000,103.000000,1.000000
109,13.000000,1.000000,207.000000,1.000000
110,14.000000,1.000000,586.000000,1.000000
111,17.000000,1.000000,436.000000,1.000000
112,2.000000,0.000000,9.000000,1.000000
113,4.000000,0.000000,7.000000,1.000000
114,14.000000,1.000000,762.000000,1.000000
115,6.000000,0.000000,131.000000,1.000000
116,5.000000,0.000000,12.000000,1.000000
117,6.000000,0.000000,7.000000,1.000000
118,15.000000,1.000000,205.000000,1.000000
119,8.000000,0.000000,184.000000,0.000000
120,15.000000,1.000000,681.000000,1.000000
121,8.000000,0.000000,154.000000,1.000000
122,1.000000,0.000000,54.000000,1.000000
123,2.000000,0.000000,20.000000,1.000000
124,6.000000,0.000000,148.000000,1.000000
125,6.000000,0.000000,21.000000,1.000000
126,8.000000,0.000000,123.000000,1.000000
127,5.000000,0.000000,12.000000,1.000000
128,14.000000,1.000000,116.000000,1.000000
129,17.000000,1.000000,361.000000,1.000000
130,4.000000,0.000000,57.000000,1.000000
131,7.000000,0.000000,134.000000,1.000000
132,5.000000,0.000000,100.000000,1.000000
133,9.000000,0.000000,21.000000,1.000000
134,6.000000,0.000000,20.000000,1.000000
135,13.000000,1.000000,215.000000,1.000000
136,14.000000,1.000000,202.000000,1.000000
137,13.000000,1.000000,176.000000,1.000000
138,8.000000,0.000000,88.000000,1.000000
139,3.000000,0.000000,44.000000,1.000000
140,5.000000,0.000000,5.000000,1.000000
141,10.000000,1.000000,62.000000,1.000000
142,4.000000,0.000000,21.000000,1.000000
143,17.000000,1.000000,640.000000,1.000000
144,14.000000,1.000000,530.000000,1.000000
145,4.000000,0.000000,1.000000,1.000000
146,14.000000,1.000000,426.000000,1.000000
147,3.000000,0.000000,2.000000,1.000000
148,13.000000,1.000000,279.000000,1.000000
149,5.000000,0.000000,5.000000,1.000000
150,7.000000,0.000000,28.000000,1.000000
151,16.000000,1.000000,291.000000,1.000000
152,15.000000,1.000000,442.000000,1.000000
153,7.000000,0.000000,89.000000,1.000000
154,11.000000,1.000000,311.000000,0.000000
155,5.000000,0.000000,61.000000,1.000000
156,11.000000,1.000000,120.000000,1.000000
157,14.000000,1.000000,592.000000,1.000000
158,7.000000,0.000000,14.000000,0.000000
159,12.000000,1.000000,251.000000,1.000000
160,6.000000,0.000000,42.000000,1.000000
161,8.000000,0.000000,331.000000,1.000000
162,5.000000,0.000000,51.000000,0.000000
163,3.000000,0.000000,12.000000,1.000000
164,4.000000,0.000000,1.000000,1.000000
165,3.000000,0.000000,69.000000,1.000000
166,8.000000,0.000000,154.000000,1.000000
167,11.000000,1.000000,286.000000,1.000000
168,10.000000,1.000000,146.000000,1.000000
169,8.000000,0.000000,228.000000,0.000000
170,14.000000,1.000000,120.000000,1.000000
171,10.000000,1.000000,142.000000,1.000000
172,11.000000,1.000000,328.000000,1.000000
173,3.000000,0.000000,114.000000,1.000000
174,15.000000,1.000000,470.000000,1.000000
175,12.000000,1.000000,81.000000,1.000000
176,4.000000,0.000000,15.000000,1.000000
177,14.000000,1.000000,272.000000,1.000000
178,3.000000,0.000000,10.000000,1.000000
179,16.000000,1.000000,758.000000,1.000000
180,14.000000,1.000000,2443.000000,1.000000
181,5.000000,0.000000,41.000000,1.000000
182,10.000000,1.000000,159.000000,1.000000
183,7.000000,0.000000,154.000000,1.000000
184,5.000000,0.000000,117.000000,1.000000
185,15.000000,1.000000,187.000000,1.000000
186,7.000000,0.000000,12.000000,1.000000
187,4.000000,0.000000,2.000000,1.000000
188,9.000000,0.000000,131.000000,1.000000
189,6.000000,0.000000,11.000000,1.000000
190,4.000000,0.000000,9.000000,1.000000
191,3.000000,0.000000,49.000000,1.000000
192,17.000000,1.000000,334.000000,1.000000
193,15.000000,1.000000,386.000000,1.000000
194,5.000000,0.000000,105.000000,1.000000
195,6.000000,0.000000,144.000000,1.000000
196,5.000000,0.000000,202.000000,0.000000
197,13.000000,1.000000,259.000000,1.000000
198,4.000000,0.000000,22.000000,1.000000
199,9.000000,0.000000,358.000000,1.000000
200,13.000000,1.000000,327.000000,1.000000
201,15.000000,1.000000,198.000000,1.000000
202,10.000000,1.000000,308.000000,1.000000
203,12.000000,1.000000,74.000000,0.000000
204,3.000000,0.000000,53.000000,1.000000
