"cutoff","recall_mean","pii_mean","pci_mean","roi3_mean","ifap3_mean"
10,0.108727613337603,0.0685504041651915,0.0835280450979308,1.40343501456533,0.0135314396566918
20,0.182138555442034,0.106938748874007,0.177463119108369,1.36579993319326,0.0135314396566918
30,0.245885302904182,0.141839459157434,0.274407363281423,1.30525868444332,0.0135314396566918
40,0.305527100472403,0.182191045398708,0.37330801848638,1.22956774515913,0.0135314396566918
50,0.379021412923167,0.244846305032881,0.480720995029826,1.16467004474008,0.0135314396566918
60,0.478799125063353,0.333539065048042,0.582593854160359,1.14027289822623,0.0135314396566918
70,0.593419409521127,0.457281194463845,0.681344966657769,1.09178105044351,0.0135314396566918
80,0.731946208408844,0.619443047464497,0.792170707108518,1.06492007297697,0.0135314396566918
90,0.869056122089826,0.800902676977025,0.895433859552645,1.03192902442613,0.0135314396566918
100,1,1,1,1,0.0135314396566918
