"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","cutoff"
"1","SC_AEEEM","SC","SC_AEEEM-eclipse.csv","27","72","719","179","0.177049180327869","0.229101144148556","0.0910240202275601","0.0932717413135168","0.0992978936810431","0.131067961165049","0.054212932320093","6","2.27233216016799e-05","1.24999532874251","0.00489695638431664","0.00601805416248746","0.00377585860614581","0.00476689853066749",1.4052269135245,1.36125263122352,1.36191964138829,0.1
"2","SC_AEEEM","SC","SC_AEEEM-equinox.csv","18","14","181","111","0.22360248447205","0.242600245727689","0.0717948717948718","0.0637678959882633","0.0987654320987654","0.13953488372093","0.111145277555176","1","9.68068117020074e-06","9.14505314873866","0.00311148022611573","0.00308641975308642","0.00313654069914504","0.00311137930349238",2.18816822412663,1.71700026527748,1.75824449721671,0.1
"3","SC_AEEEM","SC","SC_AEEEM-lucene.csv","7","62","565","57","0.105263157894737","0.195072628178253","0.0988835725677831","0.0945151945780498","0.0998552821997106","0.109375","0.0101446858012526","11","0.00020098815617373","0.71852738048409","0.0142723342848302","0.0159189580318379","0.0126257105378225","0.0141770291730577",1.15722133873066,1.12542811864435,1.12585309999653,0.1
"4","SC_AEEEM","SC","SC_AEEEM-mylyn.csv","27","159","1458","218","0.125290023201856","0.196403313800768","0.098330241187384","0.108550819336075","0.0998925886143931","0.110204081632653","0.01338553647017","21","9.34178086566302e-05","1.28463728112642","0.00978062059480484","0.0112781954887218","0.00828304570088788","0.00966528885531262",1.0152303069354,1.05740049748986,1.05831388259955,0.1
"5","SC_AEEEM","SC","SC_AEEEM-pde.csv","58","91","1197","151","0.324022346368715","0.427398677037771","0.0706521739130435","0.378341227067342","0.0995323981295925","0.277511961722488","0.239479900550868","0","0","0.869204336810783","0","0","0","0",0.733496489065129,1.1614449808069,1.43007113036296,0.1
"6","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-ant-1.3.csv","5","7","98","15","0.3125","0.394366197183099","0.0666666666666667","0.246664367755113","0.096","0.25","0.228150401496575","2","0.00067227247407093","0.338451376688292","0.0290085148147166","0.016","0.0420170296294331","0.0259282177187506",1.01352295945801,1.45915375816761,1.62461771100831,0.1
"7","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-ant-1.4.csv","2","15","123","38","0.0701754385964912","0.0946882217090069","0.108695652173913","0.107500691945751","0.0955056179775281","0.05","-0.0833562315974418","11","0.00302175560372396","0.145326188976654","0.0553476262891701","0.0617977528089888","0.0488974997693514","0.0549704975757357",0.465113285272917,0.492595525911448,0.493457682727587,0.1
"8","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-ant-1.5.csv","13","16","245","19","0.426229508196721","0.567079141814297","0.0613026819923372","0.301997771318943","0.0989761092150171","0.40625","0.360285723281872","1","3.52875154221146e-05","0.437856486450961","0.00687610565097801","0.00341296928327645","0.0103392420186796","0.00594032957184318",1.34520860278454,2.02631652445298,2.34977520201546,0.1
"9","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-ant-1.6.csv","7","28","231","85","0.110236220472441","0.140212443095599","0.108108108108108","0.0724705508362326","0.0997150997150997","0.0760869565217391","-0.0470005758307994","1","2.08808466936789e-06","1.13862437163797","0.00179096028397549","0.00284900284900285","0.000732917718948131","0.0014450206466926",1.04990172758144,0.883778134567095,0.89505344312272,0.1
"10","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-ant-1.7.csv","50","24","555","116","0.416666666666667","0.458374628344896","0.0414507772020725","0.372359851044557","0.0993288590604027","0.301204819277108","0.361391988205814","0","0","0.555229712576494","0","0","0","0",0.808907884220486,1.27713389285948,1.56618394920563,0.1
"11","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-arc.csv","1","22","185","26","0.04","0.0711264898116109","0.106280193236715","0.0678961138408525","0.0982905982905983","0.037037037037037","-0.0743085461766045","5","0.000149985792254952","0.904578671447311","0.0141934282225266","0.0213675213675214","0.00701933507753175","0.0122468686714177",0.545495683653578,0.445728019551182,0.453375228909018,0.1
"12","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-berek.csv","4","0","27","12","0.4","0.4","0","0.593409653465347","0.0930232558139535","0.25","0.416025147168922","0","0","0.192592865520084","0","0","0","0",0.421294123781219,0.728403305320778,1.06406200837264,0.1
"13","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-camel-1.0.csv","2","31","295","11","0.0869565217391304","0.262981947849343","0.0950920245398773","0.296521455472851","0.0973451327433628","0.153846153846154","0.0380628398559913","8","0.00257815761980206","0.155606029798829","0.0664241245990546","0.023598820058997","0.109249429139112","0.0507755612455643",0.518836499034519,0.781209467616481,0.905527118373878,0.1
"14","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-camel-1.2.csv","32","28","364","184","0.231884057971014","0.255528255528256","0.0714285714285714","0.345615516877319","0.0986842105263158","0.148148148148148","0.123114782650696","2","5.38306377992884e-05","1.07181675512625","0.0098269937875971","0.00328947368421053","0.0163645138909837","0.00733693654049757",0.428650164456404,0.666883812933602,0.802187287619607,0.1
"15","SC_ALLJURECZKO","SC","SC_ALLJURECZKO-camel-1.4.csv","29","58","669","116","0.25","0.328585461689588","0.0797799174690509","0.358462479608483","0.0997706422018349","0.2","0.149359817278344","0","0","0.640239420138193","0","0","0","0",0.55793844928608,0.872918130447971,1.05756424524553,0.1
