"cutoff","recall_mean","pii_mean","pci_mean","roi_mean","ifap_mean","roi3_mean","ifap3_mean"
0.1,0.185538784239572,0.0954257190467439,0.249630515943509,1.06145293168395,0.00206344988678522,1.30765136263837,0.0135314396566918
0.2,0.339036649123538,0.196602510987364,0.445274638305162,0.894187578142165,0.00206344988678522,1.19570089985577,0.0135314396566918
0.3,0.447761579339803,0.295861509249219,0.578805548027804,0.820199749334608,0.00206344988678522,1.09304439713238,0.0135314396566918
0.4,0.537262503711857,0.396582753607896,0.638767132727299,0.871584163392883,0.00206344988678522,1.07362104801163,0.0135314396566918
0.5,0.622009264719393,0.497294566390649,0.699097607230092,0.909821662574215,0.00206344988678522,1.05815239057544,0.0135314396566918
0.6,0.697992085240914,0.596838354671117,0.754357765049026,0.93774040877634,0.00206344988678522,1.04164685665517,0.0135314396566918
0.7,0.774203084783457,0.696014617375492,0.813232405511448,0.960187582774693,0.00206344988678522,1.03015191357892,0.0135314396566918
0.8,0.85573789674335,0.79681859729165,0.868500960755914,0.988472821676758,0.00206344988678522,1.02896044195805,0.0135314396566918
0.9,0.921819734601178,0.896450407577967,0.92422292523866,0.998460582545335,0.00206344988678522,1.01284261005751,0.0135314396566918
1,1,1,1,1,0.00206344988678522,1,0.0135314396566918
