"cutoff","recall_mean","pii_mean","pci_mean","roi_mean","ifap_mean","roi3_mean","ifap3_mean"
0.1,0.162388473215623,0.0954257190467439,0.227934192307817,0.963451070088238,0.00289734396992434,1.16525231586105,0.0177207365994041
0.2,0.3204333759327,0.196602510987364,0.402200793587673,0.940943661701985,0.00289734396992434,1.17960825472858,0.0177207365994041
0.3,0.466507406838606,0.295861509249219,0.562950166907817,0.917282423636769,0.00289734396992434,1.16924509406028,0.0177207365994041
0.4,0.596010407990893,0.396582753607896,0.711671815510684,0.868004962345561,0.00289734396992434,1.13142664885229,0.0177207365994041
0.5,0.697160156442088,0.497294566390649,0.818641638931525,0.863544460231488,0.00289734396992434,1.09707867623232,0.0177207365994041
0.6,0.768162442951711,0.596838354671117,0.867663425225819,0.891407092703954,0.00289734396992434,1.06971707939452,0.0177207365994041
0.7,0.827913582960165,0.696014617375492,0.900052813506484,0.922385535518768,0.00289734396992434,1.04676857873439,0.0177207365994041
0.8,0.881694971864542,0.79681859729165,0.929760798089519,0.949699426328306,0.00289734396992434,1.02456700173001,0.0177207365994041
0.9,0.940823704190596,0.896450407577967,0.95848365212518,0.982480885455188,0.00289734396992434,1.01519451705161,0.0177207365994041
1,1,1,1,1,0.00289734396992434,1,0.0177207365994041
