"cutoff","recall_median","pii_median","pci_median","roi_median","ifap_median","roi3_median","ifap3_median"
0.1,0.132333778286295,0.0987137066754901,0.152925204377791,0.81249405769753,0,1.15537059155811,0
0.2,0.277681557967661,0.198962786695706,0.356160542245751,0.8047815177223,0,1.15617377833167,0
0.3,0.446859903381642,0.298728242711646,0.601189610107915,0.838556418399577,0,1.18114162623713,0
0.4,0.597101449275362,0.398466870300752,0.750331996431137,0.847657906242371,0,1.15580895068346,0
0.5,0.715763546798029,0.499527025521007,0.830431973816872,0.853140018110532,0,1.12588992774321,0
0.6,0.778841041998937,0.599000614862186,0.874430683321886,0.895574286866364,0,1.08497898050738,0
0.7,0.833333333333333,0.698609684048292,0.908765665833709,0.93938535689398,0,1.06800031940208,0
0.8,0.889342403628118,0.799193861693861,0.942539724327888,0.958607590809949,0,1.03882240415893,0
0.9,0.945353559483994,0.898222929601179,0.964513569079925,0.984026951374432,0,1.02676218752052,0
1,1,1,1,1,0,1,0
