"cutoff","recall_median","pii_median","pci_median","roi_median","ifap_median","roi3_median","ifap3_median"
10,0.0637175324675325,0.0504300602712204,0.0940531950107812,1.36741786535705,0,1.1337376151395,0
20,0.148891625615763,0.103448275862069,0.193060849757229,1.47381467459888,0,1.07636747385007,0
30,0.230769230769231,0.172413793103448,0.294499645163526,1.4812925170068,0,1.17414576216655,0
40,0.309583858764187,0.203448275862069,0.393747408505707,1.47483974358974,0,1.1230042289691,0
50,0.384615384615385,0.241901776384535,0.49596490217686,1.61074180583598,0,1.1396494892401,0
60,0.461538461538462,0.287724096692394,0.595914607308301,1.62915719656027,0,1.12802321453795,0
70,0.561542546561973,0.343661360347323,0.696326257036902,1.63738437821171,0,1.1480550510381,0
80,0.650842490842491,0.451769636138374,0.797851279693854,1.47172967219696,0,1.10888915911926,0
90,0.824908759124087,0.666666666666667,0.89853983299627,1.16092155369383,0,1.04792403581244,0
100,1,1,1,1,0,1,0
