"cutoff","recall_median","pii_median","pci_median","roi_median","ifap_median","roi3_median","ifap3_median"
10,0.0485388295914611,0.0330219540564118,0.0936860385213188,1.3566627125346,7.80038209692421e-06,0.866139662486192,0.00279277719056943
20,0.125,0.0707163303018225,0.193982922553383,1.79870488203165,7.80038209692421e-06,1.12167113795842,0.00279277719056943
30,0.198765432098766,0.111236802413273,0.294618024147675,1.9375992063492,7.80038209692421e-06,1.24924751074729,0.00279277719056943
40,0.298351648351649,0.160063294244639,0.396246772889373,1.86908962028579,7.80038209692421e-06,1.23870448596108,0.00279277719056943
50,0.384615384615385,0.205416343752691,0.493535309334541,1.77472608656119,7.80038209692421e-06,1.17480381730366,0.00279277719056943
60,0.473626373626374,0.255735031042828,0.596281417765629,1.8082264957265,7.80038209692421e-06,1.23173018079734,0.00279277719056943
70,0.569444444444445,0.318247231216514,0.695153695334482,1.69791874791875,7.80038209692421e-06,1.19736717284146,0.00279277719056943
80,0.666666666666667,0.41167944683303,0.798116929394251,1.58228312334798,7.80038209692421e-06,1.12771071871133,0.00279277719056943
90,0.802955542264753,0.575248322147651,0.898738750394989,1.31666964878133,7.80038209692421e-06,1.08167586042273,0.00279277719056943
100,1,1,1,1,7.80038209692421e-06,1,0.00279277719056943
