"Recall","Recall_one","ROI","ROI_one","IFAP","IFAP_one","MDD","MDD_one","IFAP2","IFAP2_one","ROI2","ROI2_one","IFA","IFA_one","IFA_PII","IFA_PII_one","IFA_PCI","IFA_PCI_one","IFAP3","IFAP3_one","ROI3","ROI3_one"
0.395348837209302,0.333333333333333,0.625978232207797,0.602772947744119,0,0,1.64170236439392,1.59819205534668,0,0,0.952978427071589,0.887537184276523,0,0,0,0,0,0,0,0,1.11758643744011,1.00699548503558
0.603174603174603,0.396825396825397,0.984490331206476,0.722647017603869,0,0,1.4521299255721,0.450823344599231,0,0,1.48441407275723,1.05943344121812,0,0,0,0,0,0,0,0,1.72310702635486,1.19742367089795
0.424489795918367,0.4,0.730279866733769,0.808140438092279,0,9.3203932435361e-05,0.977863271027999,1.03726916624869,0,0.014270174886235,1.08681552403432,1.15131767234538,0,7,0,0.00376141859215476,0,0.0247789311803153,0,0.00965421837516435,1.24531726138014,1.27167206637465
0.373205741626794,0.416267942583732,0.729078810433092,0.931436289837433,2.67508884115625e-06,1.88803038959157e-06,1.00164058939149,1.10470145120488,0.00233519105211535,0.00174647133034497,1.04869453214566,1.28720891160513,1,1,0.000668449197860963,0.000668449197860963,0.00400193290636974,0.00282449346282899,0.00163556988268806,0.00137405618138108,1.1667870466194,1.3928144478498
0.461165048543689,0.514563106796116,0.705700354766968,0.919401417023791,0,0,1.58288263202361,0.682870996759893,0,0,1.08091701207487,1.35505651739748,0,0,0,0,0,0,0,0,1.27626685708839,1.53877470235734
0.53968253968254,0.396825396825397,0.890474361085195,0.722647017603869,2.73920070123538e-06,0,0.85717577019029,0.450823344599231,0.00166966192308563,0,1.33905987217073,1.05943344121812,1,0,0.00144927536231884,0,0.00189004848385241,0,0.00165505308109298,0,1.55011848694325,1.19742367089795
0.428571428571429,0.4,0.743423706098495,0.808140438092279,0,9.3203932435361e-05,0.9159981040063,1.03726916624869,0,0.014270174886235,1.10403068773113,1.15131767234538,0,7,0,0.00376141859215476,0,0.0247789311803153,0,0.00965421837516435,1.26250040701244,1.27167206637465
0.373205741626794,0.416267942583732,0.730380095255314,0.931436289837433,0,1.88803038959157e-06,0.980471447040888,1.10470145120488,0,0.00174647133034497,1.05004000150171,1.28720891160513,0,1,0,0.000668449197860963,0,0.00282449346282899,0,0.00137405618138108,1.16782784314808,1.3928144478498
0.446601941747573,0.514563106796116,0.689973594451446,0.919401417023791,3.60477873141811e-06,0,0.504726950885166,0.682870996759893,0.00229718784037473,0,1.05445896243269,1.35505651739748,1,0,0.00100401606425703,0,0.00359035961649243,0,0.00189862548477,0,1.24188010500942,1.53877470235734
0.372093023255814,0.333333333333333,0.577154572024748,0.602772947744119,2.23273094252504e-05,0,1.54273634017486,1.59819205534668,0.00515384808827701,0,0.882945356713,0.887537184276523,1,0,0.00309597523219814,0,0.00721172094435588,0,0.00472517824269629,0,1.04107761356446,1.00699548503558
