"cutoff","recall_median","pii_median","pci_median","roi_median","ifap_median","roi3_median","ifap3_median"
10,0.0945524354691005,0.0555224906127821,0.0965014504149357,1.51825963868619,1.01003663650874e-07,1.23677840924682,0.000317593385656166
20,0.169446343130554,0.0870338164251208,0.194369809036063,1.75344636651774,1.01003663650874e-07,1.30286057516935,0.000317593385656166
30,0.219409937888199,0.114536302623551,0.292396759262031,1.84620970052381,1.01003663650874e-07,1.26267501667722,0.000317593385656166
40,0.295014094432699,0.152312416042986,0.39145586989952,1.66987179487179,1.01003663650874e-07,1.18787303431411,0.000317593385656166
50,0.368518518518518,0.222576610381489,0.494379273237127,1.72170261941448,1.01003663650874e-07,1.15073157694965,0.000317593385656166
60,0.472120843471209,0.281703838174274,0.597150339089147,1.41980649148756,1.01003663650874e-07,1.12517258931221,0.000317593385656166
70,0.617216117216117,0.457565685008362,0.696489500407862,1.30294117647059,1.01003663650874e-07,1.07307578350348,0.000317593385656166
80,0.75574494949495,0.639224065694654,0.798718061430045,1.15705532776122,1.01003663650874e-07,1.04355092262092,0.000317593385656166
90,0.875,0.828113369596336,0.898714236114806,1.05188730806307,1.01003663650874e-07,1.01925486167607,0.000317593385656166
100,1,1,1,1,1.01003663650874e-07,1,0.000317593385656166
