"predictedValue","predictLabel","sloc","actualBugLabel"
11,1,372,0
12,1,508,0
5,0,17,0
6,0,155,0
18,1,1100,1
10,1,227,0
3,0,2,0
9,0,227,0
10,1,386,0
7,0,71,0
12,1,2050,0
11,1,725,1
2,0,54,0
3,0,130,0
3,0,218,0
2,0,16,0
3,0,4,0
10,1,176,0
7,0,13,0
9,0,364,1
13,1,308,1
15,1,334,1
7,0,383,0
16,1,639,0
14,1,349,0
5,0,5,0
12,1,777,0
8,0,1283,0
13,1,177,1
7,0,91,0
8,0,157,0
6,0,183,1
14,1,318,0
4,0,4,0
10,1,168,0
18,1,1127,0
12,1,278,1
9,0,513,0
11,1,896,1
6,0,272,0
12,1,456,0
3,0,15,0
8,0,109,0
10,1,161,0
12,1,220,0
16,1,564,0
13,1,1911,1
7,0,261,1
10,1,121,0
5,0,34,0
17,1,499,1
1,0,24,0
5,0,115,0
13,1,927,0
6,0,89,0
8,0,368,0
13,1,358,0
6,0,341,0
12,1,455,0
8,0,119,0
8,0,160,0
17,1,569,1
6,0,514,0
8,0,149,0
18,1,897,0
12,1,219,0
10,1,749,0
3,0,1,0
5,0,182,0
11,1,219,1
10,1,309,0
9,0,368,0
9,0,198,0
10,1,303,0
8,0,70,0
13,1,783,1
9,0,34,0
3,0,93,0
8,0,143,0
14,1,288,0
7,0,187,0
8,0,239,0
16,1,923,1
7,0,50,0
12,1,316,0
4,0,38,0
10,1,335,0
10,1,302,0
10,1,176,0
12,1,142,0
12,1,191,0
12,1,523,0
14,1,5494,1
7,0,61,0
3,0,2,0
3,0,8,0
12,1,398,1
6,0,86,0
5,0,82,0
3,0,2,0
14,1,1927,1
8,0,153,0
4,0,23,0
6,0,29,0
14,1,313,0
3,0,59,0
10,1,386,0
11,1,2884,0
11,1,379,0
18,1,873,1
8,0,300,0
12,1,546,0
2,0,67,0
6,0,29,0
4,0,5,0
5,0,22,0
9,0,36,0
9,0,372,0
6,0,197,0
14,1,787,0
13,1,1572,1
7,0,54,0
17,1,569,1
9,0,81,0
9,0,679,0
9,0,208,0
3,0,8,0
6,0,52,0
6,0,65,0
12,1,1311,1
5,0,75,0
11,1,153,0
10,1,431,0
10,1,258,0
5,0,259,0
18,1,9932,1
8,0,128,0
16,1,352,1
7,0,162,0
16,1,559,0
5,0,83,0
13,1,2076,1
4,0,52,0
6,0,79,1
6,0,124,0
3,0,2,0
12,1,211,0
8,0,466,0
8,0,203,0
6,0,47,0
13,1,395,0
3,0,6,0
5,0,300,0
8,0,261,0
7,0,71,0
