"predictedValue","predictLabel","sloc","actualBugLabel"
6,0,5,1
5,0,27,0
9,0,75,0
12,1,9104,0
11,1,360,1
3,0,17,1
6,0,101,1
9,0,62,1
11,1,140,1
7,0,40,1
15,1,284,0
10,1,510,1
11,1,681,1
5,0,51,1
2,0,51,1
5,0,75,1
12,1,688,1
11,1,131,1
11,1,239,1
8,0,35,0
9,0,178,1
6,0,28,1
13,1,844,1
11,1,262,1
13,1,119,0
4,0,50,1
10,1,227,1
10,1,160,1
13,1,318,1
10,1,10760,0
12,1,153,1
10,1,304,0
12,1,292,1
10,1,85,1
11,1,214,1
6,0,5,1
13,1,279,1
4,0,5,1
8,0,42,1
9,0,87,1
17,1,417,1
8,0,302,1
13,1,180,1
13,1,124,0
2,0,23,1
11,1,160,0
8,0,68,1
15,1,534,1
6,0,92,1
2,0,1,1
12,1,153,1
10,1,154,1
12,1,140,1
14,1,149,1
7,0,537,0
10,1,84,1
12,1,359,0
13,1,642,0
5,0,4,1
10,1,195,1
10,1,309,1
6,0,55,0
9,0,88,1
5,0,77,1
5,0,8,1
11,1,437,0
3,0,0,1
13,1,188,0
11,1,131,1
8,0,86,0
2,0,5,1
10,1,92,1
11,1,296,1
10,1,304,0
4,0,5,1
4,0,45,1
11,1,122,1
14,1,342,0
9,0,72,1
4,0,33,1
6,0,5,1
11,1,144,1
1,0,2,1
8,0,61,0
11,1,580,1
6,0,25,1
4,0,4,1
3,0,17,1
11,1,332,1
8,0,460,1
2,0,2,1
4,0,34,1
13,1,130,0
5,0,19,1
4,0,20,1
5,0,11,1
3,0,3,1
5,0,21,1
5,0,44,0
11,1,245,1
2,0,10,0
6,0,5,1
8,0,680,1
10,1,392,1
13,1,445,1
4,0,17,1
10,1,62,0
10,1,258,1
3,0,1,1
12,1,120,1
10,1,86,1
8,0,37,1
9,0,32,1
6,0,222,1
11,1,238,1
7,0,67,0
5,0,158,1
3,0,321,0
8,0,137,1
4,0,7,1
2,0,7,0
3,0,7,0
5,0,67,0
11,1,161,1
12,1,153,1
8,0,102,1
4,0,196,0
4,0,25,1
9,0,31,1
11,1,161,1
4,0,2,1
8,0,50,0
10,1,378,1
3,0,55,1
4,0,17,1
3,0,1,1
10,1,304,1
11,1,131,1
10,1,508,1
5,0,32,1
6,0,97,1
3,0,41,1
4,0,17,1
12,1,1625,0
5,0,27,1
11,1,136,1
7,0,332,0
12,1,95,1
12,1,184,0
13,1,438,1
12,1,153,1
8,0,133,1
6,0,23,0
2,0,0,1
7,0,218,0
8,0,991,1
7,0,82,0
3,0,17,1
6,0,61,1
12,1,155,0
8,0,28,1
9,0,40,1
2,0,8,1
3,0,31,1
17,1,683,1
4,0,34,1
7,0,38,1
8,0,24,1
4,0,32,1
13,1,110,0
8,0,308,0
16,1,782,1
9,0,39,1
3,0,1,1
7,0,86,1
2,0,7,0
9,0,52,1
13,1,105,0
15,1,111,0
10,1,353,1
10,1,156,1
11,1,593,1
13,1,387,0
8,0,33,0
4,0,20,1
12,1,140,1
13,1,207,0
9,0,192,1
3,0,6,1
8,0,70,1
3,0,3,1
6,0,5,1
10,1,62,0
6,0,28,1
16,1,159,0
6,0,12,0
