"predictedValue","predictLabel","sloc","actualBugLabel"
15,1,385,0
10,1,276,0
7,0,111,0
13,1,265,0
11,1,747,0
10,1,437,0
6,0,147,0
4,0,33,0
4,0,95,0
17,1,730,1
9,0,147,0
15,1,1156,1
5,0,149,0
10,1,448,0
11,1,493,1
5,0,31,0
15,1,719,0
3,0,32,0
10,1,128,0
10,1,168,0
9,0,215,0
2,0,39,0
3,0,100,0
18,1,366,0
11,1,560,0
12,1,265,0
11,1,1489,0
4,0,69,0
14,1,404,1
4,0,37,0
4,0,4,0
4,0,137,0
2,0,24,0
12,1,659,1
13,1,174,0
3,0,16,0
6,0,173,0
15,1,164,0
3,0,55,0
9,0,527,0
12,1,279,1
4,0,1,1
6,0,7,0
8,0,151,0
4,0,4,0
8,0,87,0
16,1,724,0
15,1,243,0
8,0,1260,0
5,0,33,0
12,1,517,0
4,0,28,1
5,0,144,0
5,0,5,0
1,0,34,1
7,0,81,0
16,1,737,0
9,0,396,0
4,0,33,1
4,0,48,1
5,0,68,0
13,1,1776,0
7,0,359,0
3,0,20,0
14,1,608,0
6,0,152,1
15,1,557,0
13,1,514,0
9,0,277,0
7,0,59,0
9,0,377,0
3,0,2,0
11,1,294,0
8,0,176,0
9,0,462,0
11,1,394,0
11,1,748,1
5,0,13,0
16,1,677,1
14,1,466,0
17,1,1423,0
4,0,23,1
5,0,96,1
1,0,7,0
14,1,275,1
3,0,65,0
5,0,66,0
6,0,150,0
16,1,396,0
16,1,514,1
8,0,376,0
12,1,163,0
7,0,412,0
11,1,108,0
15,1,502,1
14,1,474,0
4,0,23,1
4,0,4,0
14,1,201,1
5,0,5,0
7,0,169,0
4,0,1,0
3,0,47,0
13,1,397,0
9,0,274,0
10,1,1400,0
6,0,84,0
4,0,3,0
9,0,298,1
15,1,1273,0
16,1,2040,0
14,1,398,1
4,0,6,0
5,0,101,0
10,1,437,1
6,0,97,0
17,1,531,0
15,1,699,0
3,0,20,0
11,1,153,0
5,0,95,1
4,0,75,0
12,1,322,0
17,1,720,1
4,0,11,0
7,0,135,0
9,0,222,0
11,1,183,0
4,0,118,0
10,1,604,0
5,0,89,0
16,1,287,0
4,0,11,0
10,1,745,0
12,1,1159,0
5,0,76,0
5,0,58,0
3,0,112,1
8,0,151,0
7,0,78,1
6,0,69,0
13,1,128,1
6,0,92,0
8,0,120,0
5,0,147,0
4,0,4,1
5,0,63,0
14,1,216,1
7,0,136,0
1,0,0,0
1,0,96,0
17,1,646,1
14,1,481,1
3,0,4,0
9,0,68,0
5,0,165,1
3,0,54,1
8,0,617,0
8,0,146,0
12,1,300,1
15,1,1377,0
6,0,152,0
2,0,147,0
6,0,149,0
11,1,177,0
14,1,643,1
12,1,360,0
6,0,375,0
2,0,48,0
2,0,97,1
5,0,91,0
1,0,24,0
15,1,236,1
6,0,151,0
14,1,630,0
12,1,1093,0
12,1,887,1
6,0,59,0
