Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
AEEEM-eclipse,cpdp,CLA,154,285,506,52,0.350797267,0.747572816,0.47751938,0.360303413,0,0.186105268,1,0.864037848,0.865208413,0.315853488,0,0,0,62,234,557,144,0.209459459,0.300970874,0.247011952,0.295828066,0,0.141902352,1,0.296890672,1.020254747,0.004557402,0,0,0,0.993617639
AEEEM-equinox,cpdp,CLA,106,56,139,23,0.654320988,0.821705426,0.728522337,0.287179487,2,0.616867248,0.333333333,0.875550159,0.938501829,0.523318312,0,0,0.00617284,63,41,154,66,0.605769231,0.488372093,0.540772532,0.21025641,2,0.616419873,0.333333333,0.320987654,1.533257013,0.291614846,0,0,0.00617284,0.992310416
AEEEM-lucene,cpdp,CLA,48,226,401,16,0.175182482,0.75,0.284023669,0.360446571,1,0.165557171,0.5,0.491992785,1.524412598,0.230859356,7.91E-08,5.47E-05,0.001447178,29,190,437,35,0.132420091,0.453125,0.204946996,0.303030303,1,0.169188303,0.5,0.316931983,1.430583275,0.093518181,7.91E-08,5.47E-05,0.001447178,0.999398776
AEEEM-mylyn,cpdp,CLA,139,569,1048,106,0.196327684,0.567346939,0.291710388,0.351886209,12,0.106063889,0.076923077,0.754513075,0.751937849,0.150032949,7.14E-06,0.00110825,0.006444683,54,401,1216,191,0.118681319,0.220408163,0.154285714,0.247990105,12,0.081191872,0.076923077,0.244360902,0.903755404,-0.021697522,7.14E-06,0.00110825,0.006444683,0.998033337
AEEEM-pde,cpdp,CLA,147,483,805,62,0.233333333,0.703349282,0.350417163,0.375,7,0.14952142,0.125,0.774620284,0.907992337,0.230508701,4.74E-06,0.001013937,0.004676019,53,292,996,156,0.153623188,0.253588517,0.19133574,0.226708075,7,0.11076088,0.125,0.230460922,1.10130543,0.022122372,4.74E-06,0.001013937,0.004676019,0.999135772
ALLJURECZKO-ant-1.3,cpdp,CLA,17,36,69,3,0.320754717,0.85,0.465753425,0.342857143,6,0.20519189,0.142857143,0.731982281,1.161230295,0.376214714,0.00122486,0.025517918,0.048,5,21,84,15,0.192307692,0.25,0.217391304,0.2,6,0.158646373,0.142857143,0.208,1.264089778,0.04516223,0.00122486,0.025517918,0.048,0.950820977
ALLJURECZKO-ant-1.4,cpdp,CLA,23,49,89,17,0.319444444,0.575,0.410714286,0.355072464,2,0.285837971,0.333333333,0.759202878,0.757373314,0.18703805,4.89E-05,0.004354645,0.011235955,10,26,112,30,0.277777778,0.25,0.263157895,0.188405797,2,0.240477883,0.333333333,0.202247191,1.292390116,0.064005008,4.89E-05,0.004354645,0.011235955,0.956453547
ALLJURECZKO-ant-1.5,cpdp,CLA,26,94,167,6,0.216666667,0.8125,0.342105263,0.360153257,10,0.116893154,0.090909091,0.77204269,1.052402945,0.286914856,4.37E-04,0.012809172,0.034129693,7,61,200,25,0.102941176,0.21875,0.14,0.233716475,10,0.087207455,0.090909091,0.232081911,0.955752786,-0.011057808,4.37E-04,0.012809172,0.034129693,0.986191368
ALLJURECZKO-ant-1.6,cpdp,CLA,70,73,186,22,0.48951049,0.760869565,0.595744681,0.281853282,4,0.292425219,0.2,0.750843297,1.013353343,0.428740378,3.42E-05,0.003002314,0.011396011,26,54,205,66,0.325,0.282608696,0.302325581,0.208494208,4,0.188800487,0.2,0.227920228,1.267375652,0.077699328,3.42E-05,0.003002314,0.011396011,0.978356851
ALLJURECZKO-ant-1.7,cpdp,CLA,133,200,379,33,0.399399399,0.801204819,0.533066132,0.345423143,3,0.234526367,0.25,0.808217471,0.991323311,0.381486753,3.49E-06,8.67E-04,0.004026846,40,147,432,126,0.213903743,0.240963855,0.226628895,0.25388601,3,0.180483841,0.25,0.251006711,0.96207843,-0.012401961,3.49E-06,8.67E-04,0.004026846,0.997828931
ALLJURECZKO-arc,cpdp,CLA,15,77,130,12,0.163043478,0.555555556,0.25210084,0.371980676,13,0.082049723,0.071428571,0.797906962,0.696266084,0.120072131,0.001513766,0.027247783,0.055555556,5,50,157,22,0.090909091,0.185185185,0.12195122,0.241545894,13,0.064084044,0.071428571,0.235042735,0.790198303,-0.042465441,0.001513766,0.027247783,0.055555556,0.997064642
ALLJURECZKO-berek,cpdp,CLA,14,8,19,2,0.636363636,0.875,0.736842105,0.296296296,7,0.288243234,0.125,0.903805693,0.968128445,0.559599281,0.00674433,0.041429455,0.162790698,6,8,19,10,0.428571429,0.375,0.4,0.296296296,7,0.132525609,0.125,0.325581395,1.305020659,0.081184669,0.00674433,0.041429455,0.162790698,0.882580446
ALLJURECZKO-camel-1.0,cpdp,CLA,7,123,203,6,0.053846154,0.538461538,0.097902098,0.377300613,19,0.032847706,0.05,0.71969989,0.748175102,0.06364956,0.002183981,0.038966816,0.056047198,3,67,259,10,0.042857143,0.230769231,0.072289157,0.205521472,19,0.026322172,0.05,0.206489676,1.117947099,0.01197783,0.002183981,0.038966816,0.056047198,0.999673794
ALLJURECZKO-camel-1.2,cpdp,CLA,100,145,247,116,0.408163265,0.462962963,0.433839479,0.369897959,0,0.379396196,1,0.749117674,0.618011,0.090807131,0,0,0,48,87,305,168,0.355555556,0.222222222,0.273504274,0.221938776,0,0.386426438,1,0.222039474,1.008152075,3.26E-04,0,0,0,0.992730234
ALLJURECZKO-camel-1.4,cpdp,CLA,93,264,463,52,0.260504202,0.64137931,0.370517928,0.363136176,2,0.24465757,0.333333333,0.792108483,0.809711453,0.210687098,1.26E-06,5.51E-04,0.002293578,39,154,573,106,0.202072539,0.268965517,0.230769231,0.211829436,2,0.259201063,0.333333333,0.221330275,1.223078676,0.051244601,1.26E-06,5.51E-04,0.002293578,0.993576672
ALLJURECZKO-camel-1.6,cpdp,CLA,98,298,479,90,0.247474747,0.521276596,0.335616438,0.383526384,7,0.185320114,0.125,0.801477157,0.650394825,0.110911859,1.49E-05,0.002060944,0.007253886,40,179,598,148,0.182648402,0.212765957,0.196560197,0.23037323,7,0.16223213,0.125,0.226943005,0.938651212,-0.016649073,1.49E-05,0.002060944,0.007253886,0.998805891
