Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
MDP-CM1,cpdp,CLA,31,134,168,11,0.187878788,0.738095238,0.299516908,0.443708609,12,0.108529793,0.076923077,0.792308821,0.931575187,0.192920203,0.000637,0.018273888,0.034883721,9,75,227,33,0.107142857,0.214285714,0.142857143,0.248344371,12,0.072747172,0.076923077,0.244186047,0.878905564,-0.025955495,0.000637,0.018273888,0.034883721,0.998458829
MDP-JM1,cpdp,CLA,1233,3423,4411,526,0.264819588,0.700966458,0.384411535,0.436941537,6,0.173009686,0.142857143,0.86965892,0.806024571,0.204423856,7.35e-08,0.000117,0.000625,467,2019,5815,1292,0.187851971,0.265491757,0.220023557,0.257722747,6,0.135989902,0.142857143,0.259147295,1.02508424,0.006861146,7.35e-08,0.000117,0.000625,0.999412564
MDP-KC1,cpdp,CLA,280,746,1025,45,0.272904483,0.861538462,0.414507772,0.421230943,31,0.189045064,0.03125,0.948124449,0.908676559,0.318817016,3.52e-05,0.002383207,0.014790076,108,454,1317,217,0.192170819,0.332307692,0.243517475,0.256352343,31,0.158004331,0.03125,0.268129771,1.239596768,0.062062389,3.52e-05,0.002383207,0.014790076,0.99980412
MDP-KC3,cpdp,CLA,22,75,89,14,0.226804124,0.611111111,0.330827068,0.457317073,8,0.116981479,0.111111111,0.802329241,0.761671244,0.118224693,9e-04,0.022505508,0.04,4,43,121,32,0.085106383,0.111111111,0.096385542,0.262195122,8,0.068975926,0.111111111,0.235,0.480680851,-0.136897979,9e-04,0.022505508,0.04,0.983632358
MDP-MC1,cpdp,CLA,66,4144,5065,2,0.01567696,0.970588235,0.03085554,0.449994571,640,0.005082371,0.001560062,0.968102909,1.002567213,0.089195526,3.96e-05,0.000575,0.068987819,11,2774,6435,57,0.003949731,0.161764706,0.007711181,0.30122706,640,0.003432317,0.001560062,0.300204808,0.539157685,-0.025954689,3.96e-05,0.000575,0.068987819,0.999425278
MDP-MC2,cpdp,CLA,28,34,49,16,0.451612903,0.636363636,0.528301887,0.409638554,1,0.328571375,0.5,0.84610951,0.752105524,0.215830307,3.33e-05,0.004226705,0.007874016,10,19,64,34,0.344827586,0.227272727,0.273972603,0.228915663,1,0.258354155,0.5,0.228346457,1.031977107,-0.001862404,3.33e-05,0.004226705,0.007874016,0.964457253
MDP-MW1,cpdp,CLA,20,103,134,7,0.162601626,0.740740741,0.266666667,0.434599156,36,0.061373817,0.027027027,0.745539631,0.993563198,0.1859586,0.017010556,0.124744077,0.136363636,4,48,189,23,0.076923077,0.148148148,0.101265823,0.202531646,36,0.016894569,0.027027027,0.196969697,0.767056094,-0.041433688,0.017010556,0.124744077,0.136363636,0.980549868
MDP-PC1,cpdp,CLA,51,312,386,10,0.140495868,0.836065574,0.240566038,0.446991404,4,0.108552088,0.2,0.795943371,1.050408364,0.211750343,1.17e-05,0.002223432,0.005270092,20,161,537,41,0.110497238,0.327868852,0.165289256,0.230659026,4,0.104929854,0.2,0.238471673,1.37944482,0.062015406,1.17e-05,0.002223432,0.005270092,0.99668754
MDP-PC2,cpdp,CLA,16,721,848,0,0.021709634,1,0.04249668,0.459528362,147,0.016525093,0.006756757,0.703785489,1.420887494,0.10832101,0.004242255,0.045741325,0.092744479,9,371,1198,7,0.023684211,0.5625,0.045454545,0.236456342,147,0.013112118,0.006756757,0.239747634,2.353641843,0.076341713,0.004242255,0.045741325,0.092744479,0.996845426
MDP-PC3,cpdp,CLA,115,445,540,25,0.205357143,0.821428571,0.328571429,0.45177665,3,0.204913082,0.25,0.814787371,1.008150839,0.244037667,5.15e-07,0.000193,0.002666667,52,239,746,88,0.178694158,0.371428571,0.241299304,0.242639594,3,0.214459315,0.25,0.258666667,1.438484059,0.097080344,5.15e-07,0.000193,0.002666667,0.998228093
MDP-PC4,cpdp,CLA,130,550,671,48,0.191176471,0.730337079,0.303030303,0.45045045,0,0.163432771,1,0.825203855,0.885038375,0.186608354,0,0,0,46,286,935,132,0.138554217,0.258426966,0.180392157,0.234234234,0,0.15236099,1,0.237312366,1.090388387,0.018949663,0,0,0,0.998702743
MDP-PC5,cpdp,CLA,493,5544,10954,10,0.081663078,0.980119284,0.150764526,0.336040732,2708,0.011819851,0.000369,0.884235282,1.108437205,0.228056985,0.005607617,0.035204982,0.159284748,222,5218,11280,281,0.040808824,0.441351889,0.074709743,0.316280761,2708,0.006590397,0.000369,0.319981178,1.380393904,0.045431759,0.005607617,0.035204982,0.159284748,0.999211732
